CONTENIDO,,,,,,,,

1,"Divorcios por grupos de edad del esposo, según grupos de edad de la esposa, al momento de la sentencia",,,,,,,
2,"Divorcios por pueblo de pertenencia del hombre, según pueblo de pertenencia de la mujer",,,,,,,
3,"Divorcios por mes registro, según departamento de registro",,,,,,,
4,"Divorcios por subgrupos ocupacionales de la mujer, según subgrupos ocupacionales del hombre",,,,,,,
5,"Divorcios por mes de ocurrencia, según día de ocurrencia",,,,,,,
" Divorcios por grupos de edad del esposo, según grupos de edad de la esposa, al momento de la sentencia, año 2015 ",,,,,,,,,,,,,,
 Edad de la esposa , Total , Edad del esposo ,,,,,,,,,,,,
,, Menos de 15 , 15-19 , 20-24 , 25-29 , 30-34 , 35-39 , 40-44 , 45-49 , 50-54 , 55-59 , 60 y más , Ignorado ,
 Todas las edades , 5.726   , -     , 17   , 266   , 597   , 596   , 412   , 253   , 160   , 96   , 57   , 78   , 3.194   ,
 Menos de 15 , -     , -     , -     , -     , -     , -     , -     , -     , -     , -     , -     , -     , -     ,
 15 - 19 , 105   , -     , 6   , 57   , 23   , 6   , 6   , 2   , 1   , 1   , -     , -     , 3   ,
 20 - 24 , 520   , -     , 8   , 149   , 235   , 82   , 24   , 10   , 4   , -     , 1   , -     , 7   ,
 25 - 29 , 639   , -     , 2   , 49   , 253   , 221   , 55   , 17   , 12   , 1   , -     , 2   , 27   ,
 30 - 34 , 515   , -     , 1   , 6   , 60   , 196   , 144   , 39   , 17   , 5   , 1   , 2   , 44   ,
 35 - 39 , 332   , -     , -     , 2   , 6   , 42   , 118   , 71   , 25   , 10   , 6   , 5   , 47   ,
 40 - 44 , 211   , -     , -     , -     , 4   , 7   , 17   , 61   , 42   , 20   , 8   , 8   , 44   ,
 45 - 49 , 94   , -     , -     , 1   , 2   , 3   , 7   , 10   , 25   , 21   , 5   , 1   , 19   ,
 50 - 54 , 67   , -     , -     , -     , -     , 1   , 2   , 1   , 3   , 16   , 16   , 11   , 17   ,
 55 - 59 , 37   , -     , -     , -     , 1   , -     , 1   , 1   , 1   , 2   , 9   , 15   , 7   ,
 60 y más , 31   , -     , -     , -     , -     , -     , -     , -     , 1   , 2   , 2   , 20   , 6   ,
 Ignorado , 3.175   , -     , -     , 2   , 13   , 38   , 38   , 41   , 29   , 18   , 9   , 14   , 2.973   ,
" Divorcios por pueblo de pertenencia del hombre, según pueblo de pertenencia de la mujer, año 2015 ",,,,,,,
 Pueblo de pertenencia de la mujer , Total , Pueblo de pertenencia del hombre ,,,,,
,, Maya , Garífuna , Xinka , Mestizo / ladino , Otro , Ignorado 
 Todos los pueblos , 5.726 , 345 , 2 , - , 1.925 , 15 , 3.439 
 Maya , 334 , 228 , 1 , - , 47 , 1 , 57 
 Garífuna , 1 , - , 1 , - , - , - , - 
 Xinka , - , - , - , - , - , - , - 
 Mestizo / ladino , 1.983 , 71 , - , - , 1.593 , 7 , 312 
 Otro , 12 , 3 , - , - , 5 , 1 , 3 
 Ignorado , 3.396 , 43 , - , - , 280 , 6 , 3.067 
" Divorcios por mes de registro, según departamento de registro, año 2015 ",,,,,,,,,,,,,
Departamento de registro,Total,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
3, 152   , 15   , 37   , 27   , -     , 1   , 1   , 2   , -     , 17   , -     , 20   , 32   
4, 160   , 1   , 32   , 42   , -     , -     , 1   , -     , 1   , 22   , -     , 17   , 44   
5, 118   , -     , 45   , 27   , -     , -     , 1   , -     , 2   , -     , 28   , 15   , -     
6, 151   , 20   , 34   , 43   , -     , 1   , -     , 2   , 2   , -     , 22   , 27   , -     
7, 117   , 13   , 36   , -     , -     , -     , -     , 1   , -     , 12   , 26   , -     , 29   
8, 88   , 13   , -     , -     , -     , -     , -     , 7   , 1   , 18   , 29   , -     , 20   
9, 173   , 16   , -     , 46   , -     , -     , 1   , 1   , -     , 11   , 47   , 21   , 30   
10, 154   , 21   , 37   , 34   , -     , -     , -     , -     , 10   , 12   , 1   , 18   , 21   
11, 147   , -     , 38   , 42   , -     , 1   , 1   , 1   , 4   , 18   , -     , 21   , 21   
12, 128   , -     , 42   , 33   , -     , -     , -     , -     , 7   , -     , 41   , 5   , -     
13, 189   , 32   , 31   , 55   , -     , -     , -     , -     , 6   , -     , 39   , 23   , 3   
14, 125   , 18   , 30   , -     , -     , 1   , -     , 2   , 9   , -     , 30   , -     , 35   
15, 94   , 37   , 1   , -     , -     , -     , -     , 1   , 1   , -     , 31   , 1   , 22   
16, 207   , 27   , -     , 59   , -     , -     , 6   , -     , -     , 21   , 40   , 25   , 29   
17, 133   , 25   , 31   , 1   , 1   , -     , 4   , -     , 4   , 17   , -     , 20   , 30   
18, 136   , -     , 40   , -     , -     , -     , 4   , -     , 4   , 26   , -     , 25   , 37   
19, 115   , -     , 38   , 1   , -     , -     , 3   , 1   , 5   , -     , 42   , 24   , 1   
20, 115   , 33   , 34   , 1   , -     , -     , -     , 1   , 10   , -     , 1   , 34   , 1   
21, 152   , 32   , 33   , -     , -     , -     , -     , -     , 4   , 11   , 45   , -     , 27   
22, 119   , 26   , -     , 1   , -     , -     , -     , 1   , -     , 19   , 34   , -     , 38   
23, 147   , 38   , 1   , -     , -     , -     , -     , -     , -     , 12   , 49   , 25   , 22   
24, 123   , 34   , 33   , -     , -     , -     , 2   , -     , 4   , 14   , 1   , 35   , -     
25, 94   , -     , 39   , -     , -     , 1   , 3   , -     , 3   , 24   , 2   , 22   , -     
26, 103   , -     , 21   , 1   , -     , 1   , 1   , -     , 1   , -     , 51   , 27   , -     
27, 130   , 41   , 28   , -     , -     , -     , -     , 1   , 7   , -     , 37   , 16   , -     
28, 180   , 33   , 38   , -     , -     , 2   , -     , -     , 18   , 20   , 46   , -     , 23   
29, 140   , 39   , -     , -     , 1   , -     , 1   , 2   , -     , 25   , 47   , -     , 25   
30, 129   , 42   , -     , -     , -     , -     , 1   , 1   , -     , 13   , 45   , 17   , 10   
31, 53   , 32   , -     , -     , -     , -     , -     , 1   , 20   , -     , -     , -     , -     
CONTENIDO,,,,,,,,

1,"Divorcios por grupos de edad del esposo, según grupos de edad de la esposa, al momento de la sentencia",,,,,,,
2,"Divorcios por pueblo de pertenencia del esposo, según pueblo de pertenencia de la esposa",,,,,,,
3,"Divorcios por mes registro, según departamento de registro",,,,,,,
4,"Divorcios por grupos ocupacionales de la esposa, según grupos ocupacionales del esposo",,,,,,,
5,"Divorcios por mes de ocurrencia, según día de ocurrencia",,,,,,,
" Divorcios por grupos de edad del esposo, según grupos de edad de la esposa, al momento de la sentencia, año 2019 ",,,,,,,,,,,,,
 Edad de la esposa , Total , Edad del esposo ,,,,,,,,,,,
,, 18-19 , 20-24 , 25-29 , 30-34 , 35-39 , 40-44 , 45-49 , 50-54 , 55-59 , 60 y más , Ignorado ,
 Todas las edades , 8.203   , 1   , 259   , 965   , 1.106   , 825   , 547   , 284   , 196   , 114   , 125   , 3.781   ,
 18 - 19 , 39   , -     , 17   , 16   , 4   , 2   , -     , -     , -     , -     , -     , -     ,
 20 - 24 , 633   , 1   , 172   , 299   , 109   , 35   , 9   , 4   , 4   , -     , -     , -     ,
 25 - 29 , 1.149   , -     , 54   , 490   , 412   , 127   , 31   , 15   , 6   , 3   , 2   , 9   ,
 30 - 34 , 1.029   , -     , 11   , 123   , 439   , 299   , 92   , 23   , 10   , 1   , 5   , 26   ,
 35 - 39 , 701   , -     , 5   , 26   , 93   , 257   , 176   , 47   , 24   , 13   , 7   , 53   ,
 40 - 44 , 395   , -     , -     , 7   , 24   , 57   , 147   , 63   , 34   , 21   , 8   , 34   ,
 45 - 49 , 243   , -     , -     , 2   , 4   , 9   , 39   , 74   , 44   , 17   , 17   , 37   ,
 50 - 54 , 109   , -     , -     , -     , -     , 2   , 3   , 14   , 33   , 16   , 23   , 18   ,
 55 - 59 , 69   , -     , -     , -     , 1   , 1   , 2   , 6   , 7   , 23   , 19   , 10   ,
 60 y más , 44   , -     , -     , -     , -     , -     , 1   , -     , 2   , 2   , 27   , 12   ,
 Ignorado , 3.792   , -     , -     , 2   , 20   , 36   , 47   , 38   , 32   , 18   , 17   , 3.582   ,
" Divorcios por pueblo de pertenencia del esposo, según pueblo de pertenencia de la esposa, año 2019 ",,,,,,,
 Pueblo de pertenencia de la esposa , Total , Pueblo de pertenencia del esposo ,,,,,
,, Maya , Garífuna , Xinka , Mestizo / ladino , Otro , Ignorado 
 Todos los pueblos , 8.203 , 623 , 1 , - , 3.467 , 70 , 4.042 
 Maya , 579 , 448 , - , - , 77 , 8 , 46 
 Garífuna , 2 , - , - , - , 1 , 1 , - 
 Xinka , - , - , - , - , - , - , - 
 Mestizo / ladino , 3.467 , 119 , - , - , 2.942 , 43 , 363 
 Otro , 77 , 5 , 1 , - , 52 , 7 , 12 
 Ignorado , 4.078 , 51 , - , - , 395 , 11 , 3.621 
" Divorcios por mes de registro, según departamento de registro, año 2019 ",,,,,,,,,,,,,
Departamento de registro,Total,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Todos los departamentos, 8.203 , 667 , 539 , 569 , 481 , 760 , 775 , 765 , 798 , 743 , 750 , 777 , 579 
Guatemala, 3.687 , 307 , 197 , 244 , 240 , 374 , 410 , 366 , 346 , 351 , 293 , 342 , 217 
El Progreso, 144 , 13 , 7 , 15 , 13 , 7 , 18 , 11 , 12 , 15 , 8 , 5 , 20 
Sacatepéquez, 185 , 14 , 14 , 8 , 10 , 14 , 15 , 28 , 14 , 15 , 19 , 18 , 16 
Chimaltenango, 171 , 8 , 15 , 13 , 14 , 17 , 11 , 7 , 22 , 14 , 16 , 22 , 12 
Escuintla, 335 , 20 , 21 , 18 , 18 , 28 , 31 , 15 , 49 , 31 , 36 , 39 , 29 
Santa Rosa, 189 , 17 , 18 , 11 , 7 , 22 , 13 , 17 , 17 , 13 , 20 , 14 , 20 
Sololá, 104 , 7 , 5 , 6 , 9 , 15 , - , 10 , 15 , 9 , 10 , 10 , 8 
Totonicapán, 128 , 5 , 11 , 9 , 10 , 10 , 20 , 13 , 10 , 11 , 17 , 9 , 3 
Quetzaltenango, 739 , 53 , 63 , 55 , 36 , 68 , 46 , 74 , 66 , 62 , 83 , 86 , 47 
Suchitepéquez, 195 , 13 , 7 , 12 , 10 , 19 , 20 , 15 , 13 , 15 , 29 , 25 , 17 
Retalhuleu, 189 , 17 , 7 , 7 , 7 , 13 , 14 , 25 , 24 , 22 , 20 , 21 , 12 
San Marcos, 267 , 20 , 19 , 14 , 13 , 25 , 31 , 26 , 26 , 15 , 19 , 35 , 24 
Huehuetenango, 229 , 21 , 23 , 11 , 12 , 18 , 13 , 18 , 18 , 29 , 23 , 27 , 16 
Quiche, 188 , 14 , 17 , 14 , 4 , 8 , 21 , 19 , 20 , 15 , 28 , 11 , 17 
Baja Verapaz, 130 , 8 , 12 , 16 , 7 , 16 , 13 , 5 , 8 , 9 , 12 , 13 , 11 
Alta Verapaz, 132 , 8 , 16 , 10 , 7 , 10 , 8 , 12 , 13 , 11 , 13 , 13 , 11 
Peten, 212 , 24 , 19 , 20 , 9 , 23 , 10 , 13 , 19 , 20 , 20 , 13 , 22 
Izabal, 208 , 15 , 17 , 18 , 21 , 12 , 8 , 26 , 24 , 20 , 17 , 12 , 18 
Zacapa, 202 , 12 , 14 , 27 , 12 , 15 , 18 , 10 , 19 , 15 , 21 , 21 , 18 
Chiquimula, 159 , 21 , 11 , 12 , 5 , 7 , 14 , 12 , 17 , 16 , 13 , 14 , 17 
Jalapa, 212 , 35 , 12 , 17 , 9 , 21 , 12 , 24 , 24 , 12 , 24 , 14 , 8 
Jutiapa, 198 , 15 , 14 , 12 , 8 , 18 , 29 , 19 , 22 , 23 , 9 , 13 , 16 
" Divorcios por grupos ocupacionales de la esposa, según subgrupos ocupacionales del esposo, año 2019 ",,,,,,,,,,,,,
 Grupos ocupacionales del esposo , Grupos ocupacionales de la esposa ,,,,,,,,,,,,
, Total , Ocupaciones militares , Directores y gerentes , Profesionales científicos e intelectuales , Técnicos y profesionales de nivel medio , Personal de apoyo administrativo , Trabajadores de los servicios y vendedores de comercios y mercados ," Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros "," Oficiales, operarios y artesanos de artes mecánicas y de otros oficios ", Operadores de instalaciones y máquinas y ensambladores , Ocupaciones elementales , Ocupación  no especificada , Ignorado 
 Todos los grupos ocupacionales , 8.203 , 1 , 28 , 723 , 301 , 585 , 225 , - , 45 , 28 , 14 , 4.418 , 1.835 
 Ocupaciones militares , 18 , - , - , 2 , - , 1 , - , - , - , - , - , 15 , - 
 Directores y gerentes , 47 , - , 3 , 17 , 1 , 7 , 1 , - , - , - , - , 13 , 5 
 Profesionales científicos e intelectuales , 567 , - , 14 , 209 , 28 , 52 , 10 , - , 2 , - , 1 , 229 , 22 
 Técnicos y profesionales de nivel medio , 549 , - , 2 , 100 , 90 , 122 , 18 , - , - , 1 , - , 197 , 19 
 Personal de apoyo administrativo , 358 , - , 1 , 44 , 23 , 104 , 10 , - , 1 , 2 , - , 152 , 21 
 Trabajadores de los servicios y vendedores de comercios y mercados , 620 , - , 2 , 70 , 30 , 53 , 76 , - , 7 , 2 , - , 351 , 29 
" Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros ", 23 , - , - , 1 , 1 , 1 , 2 , - , - , - , 1 , 16 , 1 
" Oficiales, operarios y artesanos de artes mecánicas y de otros oficios ", 539 , - , 1 , 41 , 28 , 31 , 20 , - , 18 , 3 , 1 , 370 , 26 
 Operadores de instalaciones y máquinas y ensambladores , 226 , - , - , 13 , 13 , 18 , 16 , - , - , 3 , 1 , 144 , 18 
 Ocupaciones elementales , 1.052 , - , - , 22 , 18 , 12 , 9 , - , 6 , 5 , 5 , 874 , 101 
 No especificado en otro grupo , 2.558 , 1 , 5 , 187 , 60 , 173 , 55 , - , 10 , 10 , 2 , 1.951 , 104 
 Ignorado , 1.646 , - , - , 17 , 9 , 11 , 8 , - , 1 , 2 , 3 , 106 , 1.489 
"Divorcios por mes de ocurrencia, según día de ocurrencia, año 2019",,,,,,,,,,,,,
Día de ocurrencia,Total,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Todos los días, 8.203   , 508   , 604   , 889   , 755   , 874   , 753   , 852   , 767   , 620   , 738   , 550   , 293   
1, 233   , 2   , 25   , 38   , 45   , 38   , 2   , 3   , 41   , -     , 39   , -     , -     
2, 263   , 9   , -     , -     , 44   , 31   , -     , 33   , 36   , 50   , 27   , 1   , 32   
3, 295   , 18   , -     , 2   , 42   , 33   , 47   , 52   , 1   , 40   , 29   , -     , 31   
4, 339   , 10   , 35   , 48   , 61   , 1   , 45   , 41   , -     , 35   , 17   , 31   , 15   
5, 310   , 2   , 32   , 33   , 34   , -     , 48   , 47   , 33   , 36   , -     , 30   , 15   
6, 244   , -     , 34   , 42   , -     , 46   , 24   , -     , 36   , 18   , -     , 27   , 17   
7, 253   , 13   , 28   , 51   , -     , 28   , 40   , -     , 38   , -     , 33   , 22   , -     
8, 295   , 10   , 29   , 32   , 49   , 41   , -     , 38   , 30   , 1   , 40   , 25   , -     
9, 248   , 12   , -     , -     , 43   , 37   , -     , 44   , 30   , 41   , 23   , 1   , 17   
10, 240   , 19   , -     , -     , 51   , 15   , 31   , 39   , -     , 35   , 33   , -     , 17   
11, 339   , 26   , 28   , 60   , 37   , 3   , 46   , 29   , -     , 40   , 27   , 31   , 12   
12, 245   , -     , 25   , 35   , 31   , -     , 56   , 44   , 6   , 29   , 1   , -     , 18   
13, 235   , -     , 29   , 47   , -     , 28   , 36   , -     , 40   , 17   , -     , 19   , 19   
14, 306   , 37   , 25   , 46   , -     , 49   , 38   , -     , 50   , -     , 38   , 23   , -     
15, 302   , 30   , 27   , 32   , 46   , 46   , -     , 47   , 16   , -     , 29   , 29   , -     
16, 234   , 25   , -     , -     , 47   , 35   , -     , 27   , 36   , 2   , 45   , -     , 17   
17, 165   , 16   , -     , -     , -     , 29   , 1   , 44   , 1   , 34   , 31   , -     , 9   
18, 282   , 17   , 31   , 39   , -     , -     , 27   , 34   , -     , 34   , 34   , 45   , 21   
19, 257   , 1   , 30   , 43   , 3   , -     , 48   , 27   , 36   , 33   , -     , 26   , 10   
20, 289   , -     , 40   , 48   , -     , 54   , 29   , -     , 39   , 24   , -     , 36   , 19   
21, 271   , 41   , 37   , 45   , -     , 43   , 43   , -     , 34   , 1   , 2   , 25   , -     
22, 337   , 28   , 36   , 31   , 41   , 31   , 1   , 66   , 43   , -     , 34   , 26   , -     
23, 254   , 19   , -     , 1   , 34   , 38   , -     , 44   , 42   , 42   , 34   , -     , -     
24, 218   , 33   , -     , -     , 37   , 35   , 29   , 42   , -     , 7   , 35   , -     , -     
25, 302   , 23   , 37   , 44   , 28   , 1   , 40   , 38   , -     , 29   , 30   , 32   , -     
26, 282   , -     , 20   , 41   , 42   , 1   , 36   , 26   , 46   , 25   , -     , 31   , 14   
27, 264   , -     , 30   , 44   , -     , 51   , 37   , -     , 45   , 20   , -     , 27   , 10   
28, 291   , 32   , 26   , 45   , -     , 31   , 48   , 1   , 35   , -     , 47   , 26   , -     
29, 243   , 30   , -     , 41   , 8   , 38   , 1   , 15   , 27   , -     , 46   , 37   , -     
30, 236   , 28   , -     , 1   , 32   , 53   , -     , 31   , 26   , 27   , 38   , -     , -     
31, 131   , 27   , -     , -     , -     , 38   , -     , 40   , -     , -     , 26   , -     , -     
CONTENIDO,,,,,,,,

1,"Divorcios por grupos de edad del esposo, según grupos de edad de la esposa, al momento de la sentencia",,,,,,,
2,"Divorcios por pueblo de pertenencia del hombre, según pueblo de pertenencia de la mujer",,,,,,,
3,"Divorcios por mes registro, según departamento de registro",,,,,,,
4,"Divorcios por subgrupos ocupacionales de la mujer, según subgrupos ocupacionales del hombre",,,,,,,
5,"Divorcios por mes de ocurrencia, según día de ocurrencia",,,,,,,
" Divorcios por grupos de edad del esposo, según grupos de edad de la esposa, al momento de la sentencia, año 2018 ",,,,,,,,,,,,,
 Edad de la esposa , Total , Edad del esposo ,,,,,,,,,,,
,, 15-19 , 20-24 , 25-29 , 30-34 , 35-39 , 40-44 , 45-49 , 50-54 , 55-59 , 60 y más , Ignorado ,
 Todas las edades , 6.255   , 2   , 245   , 814   , 725   , 582   , 390   , 194   , 133   , 87   , 124   , 2.959   ,
 15 - 19 , 57   , 1   , 31   , 19   , 5   , -     , -     , 1   , -     , -     , -     , -     ,
 20 - 24 , 557   , 1   , 158   , 269   , 89   , 23   , 7   , 3   , 3   , 2   , 2   , -     ,
 25 - 29 , 918   , -     , 38   , 416   , 273   , 98   , 47   , 11   , 8   , 3   , 3   , 21   ,
 30 - 34 , 668   , -     , 6   , 79   , 243   , 210   , 64   , 13   , 9   , 4   , 2   , 38   ,
 35 - 39 , 475   , -     , 2   , 19   , 69   , 156   , 129   , 29   , 9   , 6   , 5   , 51   ,
 40 - 44 , 258   , -     , 1   , 7   , 19   , 29   , 78   , 54   , 18   , 6   , 6   , 40   ,
 45 - 49 , 155   , -     , 4   , -     , 5   , 9   , 17   , 35   , 34   , 9   , 18   , 24   ,
 50 - 54 , 99   , -     , 1   , 1   , 4   , 3   , 1   , 6   , 25   , 21   , 16   , 21   ,
 55 - 59 , 63   , -     , -     , -     , -     , 3   , 1   , 1   , 4   , 19   , 26   , 9   ,
 60 y más , 46   , -     , -     , -     , 1   , -     , 2   , 1   , -     , 5   , 30   , 7   ,
 Ignorado , 2.959   , -     , 4   , 4   , 17   , 51   , 44   , 40   , 23   , 12   , 16   , 2.748   ,
" Divorcios por pueblo de pertenencia del hombre, según pueblo de pertenencia de la mujer, año 2018 ",,,,,,,
 Pueblo de pertenencia de la mujer , Total , Pueblo de pertenencia del hombre ,,,,,
,, Maya , Garífuna , Xinka , Mestizo / ladino , Otro , Ignorado 
 Todos los pueblos , 6.255 , 531 , 1 , 1 , 2.443 , 43 , 3.236 
 Maya , 450 , 341 , - , - , 63 , 5 , 41 
 Garífuna , 1 , - , - , - , 1 , - , - 
 Xinka , 1 , - , - , 1 , - , - , - 
 Mestizo / ladino , 2.492 , 118 , - , - , 2.036 , 28 , 310 
 Otro , 64 , 9 , 1 , - , 41 , 7 , 6 
 Ignorado , 3.247 , 63 , - , - , 302 , 3 , 2.879 
" Divorcios por mes de registro, según departamento de registro, año 2018 ",,,,,,,,,,,,,
Departamento de registro,Total,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Todos los departamentos, 6.255 , 373 , 532 , 470 , 462 , 607 , 534 , 528 , 555 , 587 , 622 , 535 , 450 
Guatemala, 2.221 , 118 , 169 , 184 , 179 , 228 , 201 , 189 , 207 , 205 , 229 , 164 , 148 
El Progreso, 130 , 8 , 23 , 9 , 5 , 5 , 5 , 15 , 8 , 14 , 12 , 9 , 17 
Sacatepequez, 169 , 10 , 13 , 9 , 18 , 18 , 8 , 13 , 11 , 21 , 16 , 21 , 11 
Chimaltenango, 150 , 6 , 12 , 16 , 10 , 6 , 13 , 20 , 12 , 16 , 10 , 20 , 9 
Escuintla, 267 , 11 , 27 , 18 , 17 , 33 , 18 , 28 , 31 , 17 , 18 , 23 , 26 
Santa Rosa, 159 , 6 , 17 , 7 , 8 , 15 , 19 , 15 , 11 , 14 , 23 , 12 , 12 
Solola, 72 , 6 , 5 , 3 , 4 , 7 , 5 , 11 , 6 , 9 , 3 , 7 , 6 
Totonicapan, 124 , 8 , 7 , 8 , 11 , 9 , 14 , 14 , 5 , 3 , 17 , 16 , 12 
Quetzaltenango, 582 , 43 , 43 , 41 , 29 , 50 , 51 , 33 , 57 , 69 , 67 , 53 , 46 
Suchitepequez, 184 , 10 , 9 , 8 , 14 , 28 , 19 , 12 , 21 , 20 , 21 , 12 , 10 
Retalhuleu, 149 , 15 , 13 , 16 , 11 , 17 , 9 , 13 , 10 , 12 , 13 , 9 , 11 
San Marcos, 246 , 10 , 32 , 26 , 18 , 25 , 21 , 17 , 22 , 14 , 24 , 24 , 13 
Huehuetenango, 190 , 19 , 20 , 12 , 12 , 15 , 23 , 15 , 15 , 15 , 14 , 20 , 10 
Quiche, 190 , 13 , 25 , 20 , 11 , 19 , 20 , 8 , 11 , 14 , 21 , 20 , 8 
Baja Verapaz, 133 , 16 , 15 , 10 , 14 , 9 , 3 , 12 , 10 , 12 , 10 , 10 , 12 
Alta Verapaz, 138 , 7 , 12 , 7 , 16 , 15 , 15 , 7 , 15 , 9 , 12 , 13 , 10 
Peten, 190 , 5 , 16 , 11 , 14 , 12 , 14 , 30 , 13 , 18 , 15 , 25 , 17 
Izabal, 255 , 13 , 14 , 22 , 23 , 28 , 14 , 20 , 31 , 35 , 20 , 22 , 13 
Zacapa, 149 , 13 , 13 , 4 , 9 , 17 , 17 , 12 , 14 , 15 , 12 , 10 , 13 
Chiquimula, 151 , 10 , 8 , 15 , 13 , 19 , 15 , 17 , 13 , 15 , 15 , 7 , 4 
Jalapa, 180 , 10 , 20 , 11 , 16 , 16 , 10 , 15 , 9 , 20 , 18 , 17 , 18 
Jutiapa, 226 , 16 , 19 , 13 , 10 , 16 , 20 , 12 , 23 , 20 , 32 , 21 , 24 
" Divorcios por subgrupos ocupacionales de la mujer, según subgrupos ocupacionales del hombre, año 2018 ",,,,,,,,,,,,,
 Subgrupos ocupacionales del hombre , Subgrupos ocupacionales de la mujer ,,,,,,,,,,,,
, Total , Ocupaciones militares , Directores y gerentes , Profesionales científicos e intelectuales , Técnicos y profesionales de nivel medio , Personal de apoyo administrativo , Trabajadores de los servicios y vendedores de comercios y mercados ," Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros "," Oficiales, operarios y artesanos de artes mecánicas y de otros oficios ", Operadores de intalaciones y máquinas y ensambladores , Ocupaciones elementales , Ocupación  no especificada , Ignorado 
 Todos los grupos ocupacionales , 6.255 , 1 , 17 , 517 , 198 , 426 , 139 , - , 39 , 21 , 13 , 3.349 , 1.535 
 Ocupaciones militares , 13 , 1 , - , 3 , 2 , 3 , - , - , - , - , - , 4 , - 
 Directores y gerentes , 14 , - , 1 , 4 , - , 3 , 1 , - , - , - , - , 4 , 1 
 Profesionales científicos e intelectuales , 423 , - , 8 , 173 , 20 , 41 , 6 , - , 3 , - , - , 153 , 19 
 Técnicos y profesionales de nivel medio , 438 , - , - , 71 , 61 , 85 , 8 , - , - , 1 , 1 , 195 , 16 
 Personal de apoyo administrativo , 260 , - , 1 , 37 , 13 , 67 , 7 , - , 1 , 1 , - , 118 , 15 
 Trabajadores de los servicios y vendedores de comercios y mercados , 442 , - , 3 , 32 , 10 , 37 , 37 , - , 10 , 1 , 1 , 286 , 25 
" Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros ", 16 , - , - , 1 , - , - , 1 , - , - , - , - , 12 , 2 
" Oficiales, operarios y artesanos de artes mecánicas y de otros oficios ", 364 , - , - , 27 , 12 , 22 , 11 , - , 10 , 6 , 2 , 238 , 36 
 Operadores de instalaciones y máquinas y ensambladores , 187 , - , - , 6 , 6 , 22 , 9 , - , 3 , 5 , - , 128 , 8 
 Ocupaciones elementales , 917 , - , - , 25 , 16 , 12 , 18 , - , 3 , 3 , 4 , 737 , 99 
 No especificado en otro grupo , 1.808 , - , 4 , 120 , 49 , 118 , 32 , - , 9 , 4 , 5 , 1.374 , 93 
 Ignorado , 1.373 , - , - , 18 , 9 , 16 , 9 , - , - , - , - , 100 , 1.221 
"Divorcios por mes de ocurrencia, según día de ocurrencia, año 2018",,,,,,,,,,,,,
Día de ocurrencia,Total,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Todos los días, 6.255   , 405   , 511   , 511   , 579   , 596   , 579   , 633   , 624   , 516   , 646   , 390   , 265   
1, 125   , 3   , 20   , 27   , 1   , -     , 16   , -     , 31   , -     , 27   , -     , -     
2, 192   , -     , 17   , 26   , 41   , 24   , 1   , 31   , 28   , -     , 24   , -     , -     
3, 186   , 10   , -     , 1   , 41   , 23   , -     , 20   , 23   , 27   , 17   , -     , 24   
4, 203   , 13   , -     , -     , 22   , 31   , 43   , 25   , 1   , 22   , 19   , -     , 27   
5, 271   , 17   , 13   , 27   , 28   , 1   , 30   , 28   , -     , 33   , 40   , 29   , 25   
6, 233   , 1   , 21   , 30   , 21   , -     , 29   , 30   , 32   , 29   , 2   , 21   , 17   
7, 198   , -     , 17   , 25   , -     , 29   , 26   , 1   , 30   , 31   , 1   , 26   , 12   
8, 194   , 21   , 29   , 18   , 1   , 22   , 30   , 1   , 31   , -     , 22   , 18   , 1   
9, 231   , 10   , 33   , 24   , 28   , 20   , -     , 34   , 34   , 1   , 29   , 18   , -     
10, 172   , 18   , -     , -     , 18   , 10   , -     , 30   , 27   , 35   , 26   , -     , 8   
11, 183   , 15   , -     , 1   , 19   , 25   , 29   , 32   , -     , 25   , 26   , -     , 11   
12, 282   , 21   , 37   , 44   , 28   , -     , 38   , 38   , -     , 31   , 25   , 4   , 16   
13, 231   , 1   , 30   , 31   , 30   , -     , 28   , 28   , 20   , 27   , -     , 30   , 6   
14, 196   , -     , 34   , 37   , -     , 34   , 29   , -     , 27   , 3   , -     , 17   , 15   
15, 170   , 21   , 19   , 14   , -     , 26   , 23   , -     , 19   , 1   , 32   , 15   , -     
16, 186   , 17   , 20   , 25   , 6   , 28   , -     , 24   , 26   , -     , 24   , 16   , -     
17, 208   , 12   , 1   , 1   , 30   , 28   , -     , 25   , 26   , 35   , 36   , -     , 14   
18, 205   , 25   , -     , -     , 26   , 30   , 15   , 36   , 2   , 30   , 29   , -     , 12   
